song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 02,13,1,2.5,B4,71,i,Bozeman tenor-mezzo midpoint (stand-in),0.25,above,E3,18.5,inside,4,-3,none,not assessed,short,first note,,,0,first,yes,no,no,highest of phrase
Sunless 02,13,2,1,A#4,70,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.25,close,E4,5.5,inside,3,-4,none,not assessed,short,step,-1,no,0,last,no,no,no,
Sunless 02,13,2,2,G4,67,ɨ,derived from Bozeman tenor-mezzo (stand-in),0.375,close,A#3,9.11,inside,0,-7,none,not assessed,short,leap-down,-3,yes,1,first,yes,yes,yes,highest of phrase
Sunless 02,13,2,2.75,D#4,63,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.125,open,E4,-1.5,below primo,-4,-11,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 02,13,2,3,D4,62,ɛ,Bozeman tenor-mezzo midpoint (stand-in),0.5,open,D#4,-0.5,below primo,-5,-12,none,not assessed,short,step,-1,no,1,middle,no,no,no,
Sunless 02,13,2,4,D#4,63,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.25,close,D4,0.96,below primo,-4,-11,none,not assessed,short,step,1,no,1,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 02,13,2,4.5,D#4,63,u,Bozeman tenor-mezzo midpoint (stand-in),0.25,close,G3,8.5,below primo,-4,-11,none,not assessed,short,repeated,0,no,1,middle,no,no,no,
Sunless 02,13,3,1,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.5,close,E4,2.5,inside,0,-7,none,not assessed,short,leap-up,4,no,1,middle,yes,yes,yes,highest of phrase
Sunless 02,13,3,2,D#4,63,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.25,open,E4,-1.5,below primo,-4,-11,none,not assessed,short,leap-down,-4,no,1,last,no,no,no,
Sunless 02,13,3,2.75,D#4,63,o,Bozeman tenor-mezzo midpoint (stand-in),0.125,close,C#4,2.5,below primo,-4,-11,none,not assessed,short,repeated,0,yes,2,first,no,no,no,
Sunless 02,13,3,3,F#4,66,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.167,close,E4,1.5,below primo,-1,-8,none,not assessed,short,leap-up,3,no,2,middle,yes,yes,yes,highest of phrase; turning pitch 0 to 2 st below
